No,FI10501J.PV,FI10301J.PV,PI10105.PV,PI10103.PV,TI10101.PV,TI10103.PV,PI10101.PV,PIP101A1.PV,PIP101B1.PV,WIP101A.PV,WIP101B.PV,EIP101A.PV,EIP101B.PV,FIC10101.PV,FIC10101.OP,FIC10101.SP,LIC10101.PV,LIC10101.OP,LIC10101.SP,VX1YHQ.OP,VX2YHQ.OP,VX9D101.OP,VX2D101.OP,VX1P101.OP,PSV10101AB.OP,DS_P101.OP,XL_P101.OP,label
1,60.898369,0.0,1.903837,0.0,38.024018,25.066494,0.799717,2.848891,0.0,89.213974,0.0,14.873875,0.0,60.79615,33.586714,60.451722,49.917558,33.58429,50.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2,60.559543,0.0,1.907023,0.0,37.838885,25.016307,0.804662,2.858883,0.0,88.949557,0.0,14.857162,0.0,60.505341,33.853893,60.74602,49.999311,33.747789,50.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,60.639079,0.0,1.900197,0.0,38.147857,24.934831,0.8011,2.831485,0.0,89.018044,0.0,14.931876,0.0,60.821261,33.707546,60.738197,49.997152,33.743443,50.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,60.697427,0.0,1.902442,0.0,38.109845,24.978805,0.79985,2.838411,0.0,89.166815,0.0,14.841938,0.0,60.841701,33.743009,60.838635,50.024927,33.799242,50.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5,61.009797,0.0,1.909814,0.0,38.205006,25.01395,0.805911,2.855128,0.0,88.846634,0.0,14.823279,0.0,60.747195,33.912685,61.102229,50.097659,33.945683,50.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6,60.902236,0.0,1.890884,0.0,37.938263,24.975243,0.801143,2.847667,0.0,89.431504,0.0,14.900301,0.0,60.759902,33.727514,60.702152,49.986594,33.723418,50.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7,60.73258,0.0,1.900321,0.0,38.220062,24.989812,0.795132,2.852752,0.0,89.601059,0.0,14.933287,0.0,60.716369,33.86002,60.941733,50.05288,33.856518,50.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8,60.665155,0.0,1.905184,0.0,38.065489,25.020886,0.80126,2.850051,0.0,89.446676,0.0,14.936782,0.0,60.526072,33.924704,60.873795,50.033839,33.818775,50.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9,60.725916,0.0,1.897523,0.0,38.150372,25.056576,0.803849,2.852154,0.0,89.247194,0.0,14.911076,0.0,60.593455,33.791955,60.639427,49.968892,33.68857,50.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10,60.836597,0.0,1.893984,0.0,38.032064,25.156589,0.800797,2.857914,0.0,89.251075,0.0,14.899926,0.0,60.82917,33.772766,60.831791,50.022216,33.79544,50.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11,60.888169,0.0,1.905442,0.0,37.941295,25.073739,0.801473,2.851348,0.0,89.054622,0.0,14.9051,0.0,60.874089,33.754297,60.837589,50.023708,33.798661,50.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
12,60.641753,0.0,1.897483,0.0,38.142232,25.006342,0.79928,2.851198,0.0,89.471274,0.0,14.944602,0.0,60.905794,33.540739,60.4211,49.908474,33.567278,50.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13,60.661623,0.0,1.90352,0.0,37.820044,25.064341,0.800163,2.843449,0.0,89.248408,0.0,14.885013,0.0,60.944175,33.867769,61.179605,50.118577,33.988669,50.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
14,60.900771,0.0,1.8993,0.0,37.775018,24.93016,0.802905,2.857941,0.0,89.24368,0.0,14.833619,0.0,60.899828,33.679226,60.722835,49.991737,33.734908,50.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
15,60.693029,0.0,1.888302,0.0,37.940361,24.898769,0.799631,2.857554,0.0,88.911871,0.0,14.854794,0.0,60.417523,33.930996,60.78267,50.008317,33.76815,50.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
16,61.040486,0.0,1.910723,0.0,37.90635,24.913698,0.797418,2.841143,0.0,89.555357,0.0,14.84627,0.0,60.743504,33.782611,60.77283,50.005555,33.762683,50.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
17,60.675652,0.0,1.901129,0.0,37.792527,24.91497,0.80215,2.851078,0.0,89.158419,0.0,14.798486,0.0,60.964897,33.798037,61.024929,50.075207,33.902738,50.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
18,60.834564,0.0,1.887672,0.0,38.089171,24.963445,0.800678,2.858974,0.0,89.138276,0.0,14.876055,0.0,60.865021,33.630795,60.568524,49.948684,33.64918,50.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
