No,FI10501J.PV,FI10301J.PV,PI10105.PV,PI10103.PV,TI10101.PV,TI10103.PV,PI10101.PV,PIP101A1.PV,PIP101B1.PV,WIP101A.PV,WIP101B.PV,EIP101A.PV,EIP101B.PV,FIC10101.PV,FIC10101.OP,FIC10101.SP,LIC10101.PV,LIC10101.OP,LIC10101.SP,VX1YHQ.OP,VX2YHQ.OP,VX9D101.OP,VX2D101.OP,VX1P101.OP,PSV10101AB.OP,DS_P101.OP,XL_P101.OP,label
1,60.628364,0,1.892977,0,38.065981,25.011213,0.798825,2.854692,0,89.488478,0,14.850961,0,60.735744,33.652846,60.530814,49.939419,33.62823,50,27,0,0,0,0,0,0,0,0
2,60.865273,0,1.908187,0,38.139628,25.106718,0.79969,2.855645,0,89.282911,0,14.923854,0,60.725717,33.634721,60.495361,49.929921,33.608534,50,27,0,0,0,0,0,0,0,0
3,60.807645,0,1.901511,0,38.016762,24.889666,0.800528,2.8472,0,89.449571,0,14.83814,0,60.801199,33.688026,60.697682,49.98619,33.720934,50,27,0,0,0,0,0,0,0,0
4,60.633141,0,1.904012,0,37.983385,25.046322,0.804506,2.865008,0,89.420592,0,14.818113,0,60.762802,33.72817,60.750432,50.000839,33.75024,50,27,0,0,0,0,0,0,0,0
5,60.712824,0,1.906214,0,37.829797,25.051902,0.80221,2.846414,0,88.8331,0,14.847463,0,60.532795,33.741161,60.548602,49.94505,33.638112,50,27,0,0,0,0,0,0,0,0
6,60.768418,0,1.913074,0,37.836802,24.96453,0.804446,2.856409,0,88.9904,0,14.824941,0,60.472296,33.841172,60.698076,49.986637,33.721153,50,27,0,0,0,0,0,0,0,0
7,60.817326,0,1.891999,0,37.963075,25.029519,0.803711,2.848241,0,89.022116,0,14.877492,0,60.578008,33.707095,60.506858,49.933852,33.614921,50,27,0,0,0,0,0,0,0,0
8,60.910783,0,1.900345,0,38.236094,24.916995,0.801508,2.841742,0,89.344238,0,14.881407,0,61.001053,33.710489,60.941508,50.054316,33.856393,50,27,0,0,0,0,0,0,0,0
9,60.960437,0,1.903942,0,37.982934,24.863111,0.798725,2.855676,0,89.060434,0,14.843881,0,60.512357,33.865669,60.783867,50.010475,33.768815,50,27,0,0,0,0,0,0,0,0
10,60.663822,0,1.891487,0,37.985258,24.953515,0.796973,2.835679,0,89.030803,0,14.777781,0,60.681615,33.687899,60.561172,49.948871,33.645095,50,27,0,0,0,0,0,0,0,0
